"GEO_ID","id"
"NAME","Geographic Area Name"
"POPGROUP","Race/Ethnic Group"
"POPGROUP_TTL","Population Groups"
"B14002_001E","Estimate!!Total"
"B14002_001M","Margin of Error!!Total"
"B14002_002E","Estimate!!Total!!Male"
"B14002_002M","Margin of Error!!Total!!Male"
"B14002_003E","Estimate!!Total!!Male!!Enrolled in school"
"B14002_003M","Margin of Error!!Total!!Male!!Enrolled in school"
"B14002_004E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in nursery school, preschool"
"B14002_004M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in nursery school, preschool"
"B14002_005E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in nursery school, preschool!!Public school"
"B14002_005M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in nursery school, preschool!!Public school"
"B14002_006E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in nursery school, preschool!!Private school"
"B14002_006M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in nursery school, preschool!!Private school"
"B14002_007E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in kindergarten"
"B14002_007M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in kindergarten"
"B14002_008E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in kindergarten!!Public school"
"B14002_008M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in kindergarten!!Public school"
"B14002_009E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in kindergarten!!Private school"
"B14002_009M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in kindergarten!!Private school"
"B14002_010E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 1 to grade 4"
"B14002_010M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 1 to grade 4"
"B14002_011E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Public school"
"B14002_011M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Public school"
"B14002_012E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Private school"
"B14002_012M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Private school"
"B14002_013E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 5 to grade 8"
"B14002_013M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 5 to grade 8"
"B14002_014E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Public school"
"B14002_014M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Public school"
"B14002_015E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Private school"
"B14002_015M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Private school"
"B14002_016E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 9 to grade 12"
"B14002_016M","Margin of Error!!Total!!Male!!Enrolled in school!!Enrolled in grade 9 to grade 12"
"B14002_017E","Estimate!!Total!!Male!!Enrolled in school!!Enrolled in grade 9 to grade 12!!Public school"
