"GEO_ID","POPGROUP","POPGROUP_LABEL","NAME","B25071_001E","B25071_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median gross rent as a percentage of household income","Margin of Error!!Median gross rent as a percentage of household income"
"0500000US01001","002","White alone","Autauga County, Alabama","31.3","4.5"
"0500000US01003","002","White alone","Baldwin County, Alabama","29.3","1.4"
"0500000US01005","002","White alone","Barbour County, Alabama","27.8","4.2"
"0500000US01007","002","White alone","Bibb County, Alabama","24.3","5.2"
"0500000US01009","002","White alone","Blount County, Alabama","26.3","2.7"
"0500000US01011","002","White alone","Bullock County, Alabama","26.4","3.7"
"0500000US01013","002","White alone","Butler County, Alabama","25.7","4.3"
"0500000US01015","002","White alone","Calhoun County, Alabama","30.0","2.5"
"0500000US01017","002","White alone","Chambers County, Alabama","26.5","4.4"
"0500000US01019","002","White alone","Cherokee County, Alabama","30.6","2.8"
"0500000US01021","002","White alone","Chilton County, Alabama","27.8","1.9"
"0500000US01023","002","White alone","Choctaw County, Alabama","30.0","11.8"
"0500000US01025","002","White alone","Clarke County, Alabama","24.9","5.5"
"0500000US01027","002","White alone","Clay County, Alabama","25.5","3.7"
"0500000US01029","002","White alone","Cleburne County, Alabama","25.3","6.3"
"0500000US01031","002","White alone","Coffee County, Alabama","24.9","2.7"
"0500000US01033","002","White alone","Colbert County, Alabama","29.1","3.9"
"0500000US01035","002","White alone","Conecuh County, Alabama","33.2","15.3"
"0500000US01037","002","White alone","Coosa County, Alabama","24.4","4.8"
"0500000US01039","002","White alone","Covington County, Alabama","24.8","1.9"
"0500000US01041","002","White alone","Crenshaw County, Alabama","25.9","4.1"
"0500000US01043","002","White alone","Cullman County, Alabama","29.2","2.0"
"0500000US01045","002","White alone","Dale County, Alabama","26.4","1.6"
"0500000US01047","002","White alone","Dallas County, Alabama","24.5","9.7"
"0500000US01049","002","White alone","DeKalb County, Alabama","24.1","1.7"
"0500000US01051","002","White alone","Elmore County, Alabama","24.5","2.0"
"0500000US01053","002","White alone","Escambia County, Alabama","30.4","3.8"
"0500000US01055","002","White alone","Etowah County, Alabama","30.3","1.8"
