"GEO_ID","POPGROUP","POPGROUP_LABEL","NAME","B25077_001E","B25077_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US01001","002","White alone","Autauga County, Alabama","153700","6320"
"0500000US01003","002","White alone","Baldwin County, Alabama","172500","3276"
"0500000US01005","002","White alone","Barbour County, Alabama","115000","7483"
"0500000US01007","002","White alone","Bibb County, Alabama","107800","9169"
"0500000US01009","002","White alone","Blount County, Alabama","120200","4532"
"0500000US01011","002","White alone","Bullock County, Alabama","126900","32655"
"0500000US01013","002","White alone","Butler County, Alabama","100100","7251"
"0500000US01015","002","White alone","Calhoun County, Alabama","110600","3282"
"0500000US01017","002","White alone","Chambers County, Alabama","92100","6582"
"0500000US01019","002","White alone","Cherokee County, Alabama","105300","7828"
"0500000US01021","002","White alone","Chilton County, Alabama","105600","6471"
"0500000US01023","002","White alone","Choctaw County, Alabama","71100","6712"
"0500000US01025","002","White alone","Clarke County, Alabama","102800","10626"
"0500000US01027","002","White alone","Clay County, Alabama","88700","15515"
"0500000US01029","002","White alone","Cleburne County, Alabama","106500","6101"
"0500000US01031","002","White alone","Coffee County, Alabama","149500","6430"
"0500000US01033","002","White alone","Colbert County, Alabama","104700","5303"
"0500000US01035","002","White alone","Conecuh County, Alabama","75900","5055"
"0500000US01037","002","White alone","Coosa County, Alabama","90100","16424"
"0500000US01039","002","White alone","Covington County, Alabama","98900","5825"
"0500000US01041","002","White alone","Crenshaw County, Alabama","75400","5851"
"0500000US01043","002","White alone","Cullman County, Alabama","115800","4611"
"0500000US01045","002","White alone","Dale County, Alabama","106400","5087"
"0500000US01047","002","White alone","Dallas County, Alabama","105700","10726"
"0500000US01049","002","White alone","DeKalb County, Alabama","101500","4660"
"0500000US01051","002","White alone","Elmore County, Alabama","155000","4026"
"0500000US01053","002","White alone","Escambia County, Alabama","103100","7609"
"0500000US01055","002","White alone","Etowah County, Alabama","107500","3403"
"0500000US01057","002","White alone","Fayette County, Alabama","73400","6027"
"0500000US01059","002","White alone","Franklin County, Alabama","85600","3484"
"0500000US01061","002","White alone","Geneva County, Alabama","79100","4295"
"0500000US01063","002","White alone","Greene County, Alabama","69200","10610"
"0500000US01071","002","White alone","Jackson County, Alabama","99300","4561"
"0500000US01065","002","White alone","Hale County, Alabama","118500","11788"
"0500000US01067","002","White alone","Henry County, Alabama","114800","9777"
"0500000US01069","002","White alone","Houston County, Alabama","133300","2664"
"0500000US01073","002","White alone","Jefferson County, Alabama","176600","2735"
"0500000US01075","002","White alone","Lamar County, Alabama","68600","4340"
"0500000US01077","002","White alone","Lauderdale County, Alabama","120700","4160"
"0500000US01079","002","White alone","Lawrence County, Alabama","96300","6708"
"0500000US01081","002","White alone","Lee County, Alabama","163300","4287"
"0500000US01083","002","White alone","Limestone County, Alabama","144200","4544"
"0500000US01085","002","White alone","Lowndes County, Alabama","145400","15014"
"0500000US01087","002","White alone","Macon County, Alabama","75400","6330"
"0500000US01089","002","White alone","Madison County, Alabama","177400","3164"
"0500000US01091","002","White alone","Marengo County, Alabama","119600","8323"
"0500000US01093","002","White alone","Marion County, Alabama","83000","6281"
"0500000US01095","002","White alone","Marshall County, Alabama","115700","3997"
"0500000US01097","002","White alone","Mobile County, Alabama","136600","2172"
"0500000US01099","002","White alone","Monroe County, Alabama","90000","5941"
"0500000US01101","002","White alone","Montgomery County, Alabama","154100","3575"
"0500000US01103","002","White alone","Morgan County, Alabama","127700","4433"
"0500000US01105","002","White alone","Perry County, Alabama","80700","24099"
"0500000US01107","002","White alone","Pickens County, Alabama","90500","7470"
"0500000US01109","002","White alone","Pike County, Alabama","118400","8877"
"0500000US01111","002","White alone","Randolph County, Alabama","86400","5763"
"0500000US01113","002","White alone","Russell County, Alabama","112900","6296"
"0500000US01115","002","White alone","St. Clair County, Alabama","140100","5097"
"0500000US01117","002","White alone","Shelby County, Alabama","196800","3349"
"0500000US01119","002","White alone","Sumter County, Alabama","129400","23791"
"0500000US01121","002","White alone","Talladega County, Alabama","101800","4708"
"0500000US01123","002","White alone","Tallapoosa County, Alabama","118900","6575"
"0500000US01125","002","White alone","Tuscaloosa County, Alabama","165000","2758"
"0500000US01127","002","White alone","Walker County, Alabama","83000","2805"
"0500000US01129","002","White alone","Washington County, Alabama","86400","10086"
"0500000US01131","002","White alone","Wilcox County, Alabama","108600","12300"
"0500000US01133","002","White alone","Winston County, Alabama","81400","4809"
"0500000US02013","002","White alone","Aleutians East Borough, Alaska","147900","24085"
"0500000US02016","002","White alone","Aleutians West Census Area, Alaska","330500","18113"
