NAME,POPGROUP_LABEL,State,Porportion of Population,MEDIAN HOUSEHOLD Income (DOLLARS),MEDIAN HOUSEHOLD VALUE (DOLLARS),MEDIAN GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME,Percent of Owner-occupied Houses,Percent of Renter-occupied Houses,PubPrivRatio
"Autauga County, Alabama",White alone,AL,0.7672523875,56854,153700,31.3,81.9,18.1,4.722814498933902
"Baldwin County, Alabama",White alone,AL,0.8728522809999999,52594,172500,29.3,78.3,21.7,6.8126984126984125
"Barbour County, Alabama",White alone,AL,0.4906957116,45039,115000,27.8,78.8,21.2,6.776470588235294
"Bibb County, Alabama",White alone,AL,0.7683482143000001,42263,107800,24.3,86.2,13.8,11.697916666666666
"Blount County, Alabama",White alone,AL,0.9587828492,46601,120200,26.3,82.6,17.4,7.011019283746556
"Bullock County, Alabama",White alone,AL,0.2624778063,52930,126900,26.4,92.1,7.9,0.5909090909090909
"Butler County, Alabama",White alone,AL,0.5225101625999999,42922,100100,25.7,77.4,22.6,3.326388888888889
"Calhoun County, Alabama",White alone,AL,0.7527848998000001,46399,110600,30.0,77.4,22.6,5.749585406301824
"Chambers County, Alabama",White alone,AL,0.5706381079999999,42336,92100,26.5,80.4,19.6,4.922077922077922
"Cherokee County, Alabama",White alone,AL,0.9302781192,36679,105300,30.6,78.6,21.4,6.482758620689655
"Chilton County, Alabama",White alone,AL,0.8710393405,43395,105600,27.8,77.0,23.0,12.67175572519084
"Choctaw County, Alabama",White alone,AL,0.5718401994,45321,71100,30.0,88.7,11.3,1.5068493150684932
"Clarke County, Alabama",White alone,AL,0.5343227425,41390,102800,24.9,85.1,14.9,3.294736842105263
"Clay County, Alabama",White alone,AL,0.8320903955,37166,88700,25.5,77.9,22.1,4.376146788990826
"Cleburne County, Alabama",White alone,AL,0.9497564556,38886,106500,25.3,75.8,24.2,18.047619047619047
"Coffee County, Alabama",White alone,AL,0.7584041303,51998,149500,24.9,74.0,26.0,34.09615384615385
"Colbert County, Alabama",White alone,AL,0.8059968591,44296,104700,29.1,76.0,24.0,12.928571428571429
"Conecuh County, Alabama",White alone,AL,0.5163313513000001,32746,75900,33.2,87.3,12.7,1.5976331360946745
"Coosa County, Alabama",White alone,AL,0.6688754083,42727,90100,24.4,84.6,15.4,12.208333333333334
"Covington County, Alabama",White alone,AL,0.8454279998,39636,98900,24.8,77.5,22.5,26.46551724137931
"Crenshaw County, Alabama",White alone,AL,0.7278645833,42771,75400,25.9,76.9,23.1,5.241758241758242
"Cullman County, Alabama",White alone,AL,0.9585700247,39378,115800,29.2,75.2,24.8,11.156923076923077
"Dale County, Alabama",White alone,AL,0.7377849498000001,49655,106400,26.4,66.7,33.3,8.194736842105263
"Dallas County, Alabama",White alone,AL,0.2774732446,51431,105700,24.5,79.0,21.0,1.5843621399176955
"DeKalb County, Alabama",White alone,AL,0.9271415563,38909,101500,24.1,77.8,22.2,21.75496688741722
"Elmore County, Alabama",White alone,AL,0.754698548,58246,155000,24.5,80.9,19.1,2.9393592677345537
"Escambia County, Alabama",White alone,AL,0.6202242299,39557,103100,30.4,79.3,20.7,11.541666666666666
"Etowah County, Alabama",White alone,AL,0.8077579731,41841,107500,30.3,77.0,23.0,11.18208092485549
"Fayette County, Alabama",White alone,AL,0.8565690988,36892,73400,27.2,77.9,22.1,5.0928571428571425
"Franklin County, Alabama",White alone,AL,0.9163026496,36562,85600,28.4,73.0,27.0,61.08695652173913
"Geneva County, Alabama",White alone,AL,0.8721973094,37725,79100,29.4,74.2,25.8,21.47826086956522
"Greene County, Alabama",White alone,AL,0.1845013968,45136,69200,50.0+,91.6,8.4,1.7826086956521738
"Hale County, Alabama",White alone,AL,0.40662773329999996,47035,118500,23.8,80.1,19.9,3.816901408450704
"Henry County, Alabama",White alone,AL,0.7135801034,50725,114800,24.2,87.3,12.7,7.260273972602739
"Houston County, Alabama",White alone,AL,0.6906285212000001,48967,133300,25.9,75.0,25.0,4.482352941176471
"Jackson County, Alabama",White alone,AL,0.9126140405,38158,99300,25.1,77.1,22.9,6.842105263157895
"Jefferson County, Alabama",White alone,AL,0.5315592295,60497,176600,28.7,77.3,22.7,5.9803321678321675
"Lamar County, Alabama",White alone,AL,0.8728691129999999,37267,68600,27.1,79.1,20.9,29.875
"Lauderdale County, Alabama",White alone,AL,0.8697976987999999,45208,120700,28.7,76.2,23.8,14.265384615384615
"Lawrence County, Alabama",White alone,AL,0.7819886519,40061,96300,24.3,80.0,20.0,10.122137404580153
"Lee County, Alabama",White alone,AL,0.7056807022,50270,163300,39.6,69.0,31.0,8.260969976905312
"Limestone County, Alabama",White alone,AL,0.8116122861,51636,144200,27.5,79.0,21.0,7.221130221130221
"Lowndes County, Alabama",White alone,AL,0.259173852,56045,145400,19.5,84.3,15.7,0.4117647058823529
"Macon County, Alabama",White alone,AL,0.169640436,39335,75400,23.6,83.8,16.2,6.181818181818182
"Madison County, Alabama",White alone,AL,0.6884718118,66922,177400,25.5,77.3,22.7,5.339789706696181
"Marengo County, Alabama",White alone,AL,0.4688450645,54205,119600,26.1,82.4,17.6,3.9680851063829787
"Marion County, Alabama",White alone,AL,0.9402949971,32698,83000,29.6,76.3,23.7,30.57777777777778
"Marshall County, Alabama",White alone,AL,0.9300273648,39540,115700,27.6,73.4,26.6,16.759541984732824
"Mobile County, Alabama",White alone,AL,0.5920069026,53398,136600,28.9,76.4,23.6,2.845296624057686
"Monroe County, Alabama",White alone,AL,0.5511938102,37849,90000,22.9,81.4,18.6,1.5524475524475525
"Montgomery County, Alabama",White alone,AL,0.3594255923,61342,154100,26.3,76.6,23.4,0.9504172803141875
"Morgan County, Alabama",White alone,AL,0.8278766301,48739,127700,25.5,78.0,22.0,10.85925925925926
"Perry County, Alabama",White alone,AL,0.3053610503,43906,80700,14.7,84.6,15.4,2.6818181818181817
"Pickens County, Alabama",White alone,AL,0.5782927074,41392,90500,23.0,81.1,18.9,2.7716535433070866
"Pike County, Alabama",White alone,AL,0.5748095267000001,44427,118400,34.4,67.1,32.9,3.48
"Randolph County, Alabama",White alone,AL,0.7783938394,40027,86400,31.5,80.7,19.3,9.6
"Russell County, Alabama",White alone,AL,0.4995586785,44182,112900,27.2,69.4,30.6,11.611650485436893
"St. Clair County, Alabama",White alone,AL,0.8776524975,53010,140100,25.1,82.6,17.4,8.474452554744525
"Shelby County, Alabama",White alone,AL,0.828350494,72574,196800,27.1,83.6,16.4,3.72170071783545
"Sumter County, Alabama",White alone,AL,0.2525411709,48636,129400,50.0+,84.0,16.0,5.694444444444445
"Talladega County, Alabama",White alone,AL,0.643207897,40996,101800,28.7,77.7,22.3,9.261538461538462
"Tallapoosa County, Alabama",White alone,AL,0.7043237770999999,47741,118900,32.9,79.1,20.9,10.928571428571429
"Tuscaloosa County, Alabama",White alone,AL,0.6461220328,55568,165000,29.4,70.5,29.5,7.700507614213198
"Walker County, Alabama",White alone,AL,0.9095760544,36618,83000,30.3,79.2,20.8,16.283333333333335
"Washington County, Alabama",White alone,AL,0.6617413604,44052,86400,24.4,88.0,12.0,inf
"Wilcox County, Alabama",White alone,AL,0.274301308,43516,108600,25.8,89.5,10.5,0.9852941176470589
