NAME,Difference in Median Household Income (White-Black)
"Autauga County, Alabama",24781.0
"Baldwin County, Alabama",25627.0
"Barbour County, Alabama",23868.0
"Bibb County, Alabama",14470.0
"Blount County, Alabama",15094.0
"Bullock County, Alabama",28335.0
"Butler County, Alabama",19469.0
"Calhoun County, Alabama",20328.0
"Chambers County, Alabama",16894.0
"Cherokee County, Alabama",3706.0
"Chilton County, Alabama",8206.0
"Choctaw County, Alabama",23660.0
"Clarke County, Alabama",21740.0
"Clay County, Alabama",6823.0
"Cleburne County, Alabama",
"Coffee County, Alabama",25393.0
"Colbert County, Alabama",15518.0
"Conecuh County, Alabama",15380.0
"Coosa County, Alabama",19254.0
"Covington County, Alabama",17761.0
"Crenshaw County, Alabama",21157.0
"Cullman County, Alabama",6045.0
"Dale County, Alabama",22848.0
"Dallas County, Alabama",30969.0
"DeKalb County, Alabama",11280.0
"Elmore County, Alabama",23876.0
"Escambia County, Alabama",17632.0
"Etowah County, Alabama",16891.0
"Fayette County, Alabama",19622.0
"Franklin County, Alabama",9222.0
"Geneva County, Alabama",13429.0
"Greene County, Alabama",27405.0
"Hale County, Alabama",21908.0
"Henry County, Alabama",28518.0
"Houston County, Alabama",23985.0
"Jackson County, Alabama",17920.0
"Jefferson County, Alabama",28630.0
"Lamar County, Alabama",17475.0
"Lauderdale County, Alabama",19216.0
"Lawrence County, Alabama",9644.0
"Lee County, Alabama",20279.0
"Limestone County, Alabama",12665.0
"Lowndes County, Alabama",36535.0
"Macon County, Alabama",11086.0
"Madison County, Alabama",30972.0
"Marengo County, Alabama",33943.0
"Marion County, Alabama",4971.0
"Marshall County, Alabama",13852.0
"Mobile County, Alabama",25332.0
"Monroe County, Alabama",20820.0
"Montgomery County, Alabama",27162.0
"Morgan County, Alabama",22795.0
"Perry County, Alabama",24570.0
"Pickens County, Alabama",22670.0
"Pike County, Alabama",22575.0
"Randolph County, Alabama",11808.0
"Russell County, Alabama",14177.0
"St. Clair County, Alabama",10941.0
"Shelby County, Alabama",13794.0
"Sumter County, Alabama",32906.0
"Talladega County, Alabama",16304.0
"Tallapoosa County, Alabama",24002.0
"Tuscaloosa County, Alabama",23689.0
"Walker County, Alabama",11720.0
"Washington County, Alabama",11691.0
"Wilcox County, Alabama",25362.0
"Winston County, Alabama",
"Aleutians East Borough, Alaska",41389.0
"Aleutians West Census Area, Alaska",3571.0
"Municipality of Anchorage, Alaska",
"Bethel Census Area, Alaska",
"Bristol Bay Borough, Alaska",
"Denali Borough, Alaska",
"Dillingham Census Area, Alaska",
"Fairbanks North Star Borough, Alaska",17889.0
"Haines Borough, Alaska",
"Hoonah-Angoon Census Area, Alaska",
"City and Borough of Juneau, Alaska",
"Kenai Peninsula Borough, Alaska",-57997.0
"Ketchikan Gateway Borough, Alaska",
"Kodiak Island Borough, Alaska",
"Kusilvak Census Area, Alaska",
"Lake and Peninsula Borough, Alaska",
"Matanuska-Susitna Borough, Alaska",18564.0
"Nome Census Area, Alaska",
"North Slope Borough, Alaska",
"Northwest Arctic Borough, Alaska",
"Petersburg Census Area, Alaska",
"Prince of Wales-Hyder Census Area, Alaska",
"Sitka City and Borough, Alaska",
"Skagway Municipality, Alaska",
"Southeast Fairbanks Census Area, Alaska",
"Valdez-Cordova Census Area, Alaska",
"Wrangell City and Borough, Alaska",
"Yakutat City and Borough, Alaska",
"Yukon-Koyukuk Census Area, Alaska",
"Apache County, Arizona",
"Cochise County, Arizona",-20644.0
"Coconino County, Arizona",26237.0
"Gila County, Arizona",
"Graham County, Arizona",
"Greenlee County, Arizona",
"La Paz County, Arizona",
"Maricopa County, Arizona",17278.0
"Mohave County, Arizona",7641.0
"Navajo County, Arizona",
"Pima County, Arizona",12523.0
"Pinal County, Arizona",-1606.0
"Santa Cruz County, Arizona",
"Yavapai County, Arizona",-5695.0
"Yuma County, Arizona",-2550.0
"Arkansas County, Arkansas",16686.0
"Ashley County, Arkansas",22696.0
"Baxter County, Arkansas",
"Benton County, Arkansas",-998.0
"Boone County, Arkansas",
"Bradley County, Arkansas",19750.0
"Calhoun County, Arkansas",15141.0
"Carroll County, Arkansas",
"Chicot County, Arkansas",22502.0
"Clark County, Arkansas",17669.0
"Clay County, Arkansas",
"Cleburne County, Arkansas",
"Cleveland County, Arkansas",25296.0
"Columbia County, Arkansas",30744.0
"Conway County, Arkansas",9262.0
"Craighead County, Arkansas",22604.0
"Crawford County, Arkansas",14477.0
"Crittenden County, Arkansas",30824.0
"Cross County, Arkansas",19290.0
"Dallas County, Arkansas",14327.0
"Desha County, Arkansas",25410.0
"Drew County, Arkansas",26207.0
"Faulkner County, Arkansas",25812.0
"Franklin County, Arkansas",
"Fulton County, Arkansas",
"Garland County, Arkansas",19018.0
"Grant County, Arkansas",18097.0
"Greene County, Arkansas",
"Hempstead County, Arkansas",13587.0
"Hot Spring County, Arkansas",19590.0
"Howard County, Arkansas",18121.0
"Independence County, Arkansas",15138.0
"Izard County, Arkansas",
"Jackson County, Arkansas",10280.0
"Jefferson County, Arkansas",17661.0
"Johnson County, Arkansas",
"Lafayette County, Arkansas",22809.0
"Lawrence County, Arkansas",
"Lee County, Arkansas",19115.0
"Lincoln County, Arkansas",20968.0
"Little River County, Arkansas",15010.0
"Logan County, Arkansas",
"Lonoke County, Arkansas",30391.0
"Madison County, Arkansas",
"Marion County, Arkansas",
"Miller County, Arkansas",18962.0
"Mississippi County, Arkansas",15962.0
"Monroe County, Arkansas",20727.0
"Montgomery County, Arkansas",
"Nevada County, Arkansas",13404.0
"Newton County, Arkansas",
"Ouachita County, Arkansas",20893.0
"Perry County, Arkansas",
"Phillips County, Arkansas",23214.0
"Pike County, Arkansas",
"Poinsett County, Arkansas",16943.0
"Polk County, Arkansas",
"Pope County, Arkansas",3200.0
"Prairie County, Arkansas",15726.0
"Pulaski County, Arkansas",24601.0
"Randolph County, Arkansas",
"St. Francis County, Arkansas",11058.0
"Saline County, Arkansas",13584.0
"Scott County, Arkansas",
"Searcy County, Arkansas",
"Sebastian County, Arkansas",19286.0
"Sevier County, Arkansas",15481.0
"Sharp County, Arkansas",
"Stone County, Arkansas",
"Union County, Arkansas",21215.0
"Van Buren County, Arkansas",
"Washington County, Arkansas",14774.0
"White County, Arkansas",18694.0
"Woodruff County, Arkansas",10330.0
"Yell County, Arkansas",
"Alameda County, California",40731.0
"Alpine County, California",
"Amador County, California",
"Butte County, California",17724.0
"Calaveras County, California",
"Colusa County, California",
"Contra Costa County, California",35116.0
"Del Norte County, California",33104.0
"El Dorado County, California",-28043.0
"Fresno County, California",24276.0
"Glenn County, California",
"Humboldt County, California",15591.0
"Imperial County, California",-14732.0
"Inyo County, California",
"Kern County, California",17886.0
"Kings County, California",7199.0
"Lake County, California",13613.0
"Lassen County, California",2630.0
"Los Angeles County, California",21459.0
"Madera County, California",9434.0
"Marin County, California",46904.0
"Mariposa County, California",
"Mendocino County, California",25208.0
"Merced County, California",12899.0
"Modoc County, California",
"Mono County, California",
"Monterey County, California",-406.0
"Napa County, California",-783.0
"Nevada County, California",
"Orange County, California",13359.0
"Placer County, California",-11692.0
"Plumas County, California",
"Riverside County, California",6867.0
"Sacramento County, California",21628.0
"San Benito County, California",
"San Bernardino County, California",14716.0
"San Diego County, California",15253.0
"San Francisco County, California",70291.0
"San Joaquin County, California",18885.0
"San Luis Obispo County, California",-1530.0
"San Mateo County, California",40994.0
